Name,Year,Producer
A Secret Affair,1999,Bobby Roth
Out of the Cold,1999,Aleksandr Buravsky
Man of Miracles,1999,Larry Peerce
You Know My Name,1999,John Kent Harrison
A Change of Heart,1998,Alan Metzger
Driven,1998,Michael Shoob
The Autumn Heart,1999,Steven Maler
The Weekend,1999,Brian Skeet
A Packing Suburbia,1999,Steve J. Szklarski
Freshmen,1999,Tom Huang
Shot Through the Heart,1998,David Attwood
Junked,1999,Lance W. Lane
Savage Lagoon,1999,Marieanna Dvorak
Shucking the Curve,1998,Todd Verow
Treasure Island,1999,Scott King
Moosie,1999,Sheri Kaz
Flawless,1999,Joel Schumacher
No Code of Conduct,1998,Bret Michaels
Shergar: Discover the Heart of a Champion,1999,Dennis Lewiston
Ruby Bridges,1998,Euzhan Palcy
The Pornographer,1999,Doug Atchison
Jeremiah,1998,Harry Winer
Into His Arms,1999,Michael Linn
Hit Me,1998,Steven Shainberg
In the Shadows,1998,Meg Richman
Love on the Land,1999,Daniel Petrie
Love Goggles,1999,Anthony Travis
Out of Sight,1998,Steven Soderbergh
Smart Money,1999,Alex Hennech
The Florentine,1999,Nick Stagliano
Cash Crop,1998,Stuart Burkin
The Wishing Tree,1999,Ivan Passer
Dumbarton Bridge,1999,Charles Koppelman
Rendezvous,1999,Roy Campanella II
Santa and Pete,1999,Duwayne Dunham
Colorz of Rage,1999,Dale Resteghini
Alone,1998,Michael Lindsay-Hogg
The Base,1999,Mark L. Lester
Excellent Cadavers,1999,Ricky Tognazzi
Pamela's Prayer,1998,Dave Christiano
Great Expectations,1998,Alfonso Cuarón
Mind Prey,1998,D. J. Caruso
Next Time,1999,Alan L. Fraser
Winchell,1998,Paul Mazursky
Harlequin Romance Series: Hard to Forget,1998,Vic Sarin
"Dancer, Texas Pop. 81",1998,Tim McCanlies
The Man with Rain in His Shoes,1998,Maria Ripoll
Dark Woods,1999,Christopher Hatton
The Highwayman,1999,Keoni Waxman
Detention,1998,Darryl Wharton
Outrage,1998,Robert Allan Ackerman
The Long Way Home,1998,Glenn Jordan
Showdown,1998,"Guy Magar, Isadore Sparber"
Speed of Life,1999,Rob Schmidt
Wind River,1998,Tom Shell
The Fixer,1998,Charles Robert Carner
Dreamers,1999,Ann Lu
17 and Under,1998,Greg Morgan
Foreign Correspondents,1999,Mark Tapio Kines
A Christmas Carol,1999,David Hugh Jones
One Last Score,1999,Matthew Modine
Me and Will,1999,"Melissa Behr, Sherrie Rose"
The Price of a Broken Heart,1999,"Paul Shapiro, Paul Shapiro"
Grey Owl,1999,Richard Attenborough
A Letter from Death Row,1998,"Bret Michaels, Marvin Baker"
Men in Scoring Position,1999,Timothy Rhys
Back to Even,1998,Rod Hewitt
Born to Lose,1999,Doug Cawker
Leather Jacket Love Story,1998,David DeCoteau
The Disappearing Act,1998,Paul Schneider
Where the Truth Lies,1999,Nelson McCormick
